"Label (Grouping)","Austin-Round Rock-San Marcos, TX Metro Area!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Margin of Error","Austin-Round Rock-San Marcos, TX Metro Area!!Percent","Austin-Round Rock-San Marcos, TX Metro Area!!Percent Margin of Error","California (part); San Francisco-Oakland-Fremont, CA Metro Area!!Estimate","California (part); San Francisco-Oakland-Fremont, CA Metro Area!!Margin of Error","California (part); San Francisco-Oakland-Fremont, CA Metro Area!!Percent","California (part); San Francisco-Oakland-Fremont, CA Metro Area!!Percent Margin of Error","Cleveland city, OH; Cleveland, OH Metro Area!!Estimate","Cleveland city, OH; Cleveland, OH Metro Area!!Margin of Error","Cleveland city, OH; Cleveland, OH Metro Area!!Percent","Cleveland city, OH; Cleveland, OH Metro Area!!Percent Margin of Error"
"        Not computed","2,058","±506","(X)","(X)","2,627","±458","(X)","(X)","721","±352","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","190,626","±3,802","190,626","(X)","298,559","±3,770","298,559","(X)","32,967","±1,390","32,967","(X)"
"        Less than 10.0 percent","80,419","±2,719","42.2%","±1.1","138,794","±2,837","46.5%","±0.6","11,825","±815","35.9%","±2.3"
"        10.0 to 14.9 percent","39,027","±1,839","20.5%","±0.8","52,123","±1,673","17.5%","±0.5","7,047","±722","21.4%","±1.9"
"        15.0 to 19.9 percent","21,027","±1,439","11.0%","±0.7","28,538","±1,219","9.6%","±0.4","4,036","±481","12.2%","±1.4"
"        20.0 to 24.9 percent","13,291","±969","7.0%","±0.5","18,782","±1,033","6.3%","±0.3","2,863","±370","8.7%","±1.0"
"        25.0 to 29.9 percent","7,864","±839","4.1%","±0.4","11,354","±763","3.8%","±0.3","1,436","±294","4.4%","±0.9"
"        30.0 to 34.9 percent","5,403","±575","2.8%","±0.3","7,969","±602","2.7%","±0.2","1,173","±191","3.6%","±0.6"
"        35.0 percent or more","23,595","±1,406","12.4%","±0.7","40,999","±1,444","13.7%","±0.5","4,587","±645","13.9%","±1.7"
"        Not computed","1,954","±384","(X)","(X)","4,053","±486","(X)","(X)","891","±239","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","403,854","±4,440","403,854","(X)","753,360","±4,977","753,360","(X)","93,993","±2,037","93,993","(X)"
"        Less than $500","7,219","±933","1.8%","±0.2","37,023","±1,702","4.9%","±0.2","16,471","±941","17.5%","±0.9"
"        $500 to $999","20,487","±1,468","5.1%","±0.4","39,692","±1,769","5.3%","±0.2","35,349","±1,845","37.6%","±1.6"
"        $1,000 to $1,499","111,622","±3,944","27.6%","±0.9","64,480","±1,880","8.6%","±0.2","26,082","±1,362","27.7%","±1.4"
"        $1,500 to $1,999","138,653","±3,798","34.3%","±0.9","103,837","±2,757","13.8%","±0.3","10,743","±790","11.4%","±0.8"
"        $2,000 to $2,499","73,546","±3,159","18.2%","±0.8","138,793","±3,057","18.4%","±0.4","3,375","±521","3.6%","±0.6"
"        $2,500 to $2,999","30,337","±1,877","7.5%","±0.5","114,652","±2,861","15.2%","±0.4","1,056","±276","1.1%","±0.3"
"        $3,000 or more","21,990","±1,516","5.4%","±0.4","254,883","±3,940","33.8%","±0.5","917","±251","1.0%","±0.3"
"        Median (dollars)","1,726","±11","(X)","(X)","2,474","±12","(X)","(X)","945","±16","(X)","(X)"
"        No rent paid","9,110","±972","(X)","(X)","23,102","±1,211","(X)","(X)","4,886","±602","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","397,399","±4,566","397,399","(X)","741,451","±5,029","741,451","(X)","89,054","±1,923","89,054","(X)"
"        Less than 15.0 percent","43,717","±1,865","11.0%","±0.5","105,818","±2,304","14.3%","±0.3","12,205","±868","13.7%","±0.9"
"        15.0 to 19.9 percent","52,379","±2,265","13.2%","±0.6","97,961","±2,811","13.2%","±0.4","8,967","±720","10.1%","±0.8"
"        20.0 to 24.9 percent","58,017","±2,470","14.6%","±0.6","96,780","±2,387","13.1%","±0.3","9,579","±836","10.8%","±1.0"
"        25.0 to 29.9 percent","48,022","±2,169","12.1%","±0.5","83,424","±2,232","11.3%","±0.3","10,928","±1,021","12.3%","±1.1"
"        30.0 to 34.9 percent","37,067","±2,304","9.3%","±0.6","62,054","±2,003","8.4%","±0.3","9,474","±773","10.6%","±0.9"
"        35.0 percent or more","158,197","±3,710","39.8%","±0.8","295,414","±4,531","39.8%","±0.5","37,901","±1,856","42.6%","±1.6"
"        Not computed","15,565","±1,283","(X)","(X)","35,011","±1,706","(X)","(X)","9,825","±870","(X)","(X)"
